REF_DATE,GEO,DGUID,Census year (2),Housing indicators (9),Coordinate,Tenure (4):Total - Tenure[1],Symbol,Tenure (4):Owner[2],Symbol,Tenure (4):Renter[3],Symbol,"Tenure (4):Dwelling provided by the local government, First Nation or Indian band[4]",Symbol
2021,"Corner Brook (CA), N.L.",2021S0504015,2016,Percent of households in unaffordable housing,3.2.7,18.4,,10.4,,37.5,,0.0,
2021,"Corner Brook (CA), N.L.",2021S0504015,2016,Core housing need: in core housing need,3.2.8,980,,265,,715,,0,
2021,"Corner Brook (CA), N.L.",2021S0504015,2016,Percent of households in core housing need,3.2.9,7.5,,2.9,,19.3,,0.0,
2021,"Gander (CA), N.L.",2021S0504011,2021,Total - Housing indicators,4.1.1,5745,,3795,,1950,,0,
2021,"Gander (CA), N.L.",2021S0504011,2021,Adequacy: inadequate housing,4.1.2,285,,165,,115,,0,
2021,"Gander (CA), N.L.",2021S0504011,2021,Percent of households in inadequate housing,4.1.3,5.0,,4.3,,5.9,,0.0,
2021,"Gander (CA), N.L.",2021S0504011,2021,Suitability: unsuitable housing,4.1.4,90,,35,,60,,0,
2021,"Gander (CA), N.L.",2021S0504011,2021,Percent of households in unsuitable housing,4.1.5,1.6,,0.9,,3.1,,0.0,
2021,"Gander (CA), N.L.",2021S0504011,2021,Affordability: unaffordable housing,4.1.6,995,,345,,650,,0,
2021,"Gander (CA), N.L.",2021S0504011,2021,Percent of households in unaffordable housing,4.1.7,17.4,,9.1,,33.4,,0.0,
2021,"Gander (CA), N.L.",2021S0504011,2021,Core housing need: in core housing need,4.1.8,350,,80,,270,,0,
2021,"Gander (CA), N.L.",2021S0504011,2021,Percent of households in core housing need,4.1.9,6.2,,2.1,,14.2,,0.0,
2021,"Gander (CA), N.L.",2021S0504011,2016,Total - Housing indicators,4.2.1,5540,,3805,,1735,,0,
2021,"Gander (CA), N.L.",2021S0504011,2016,Adequacy: inadequate housing,4.2.2,340,,185,,160,,0,
2021,"Gander (CA), N.L.",2021S0504011,2016,Percent of households in inadequate housing,4.2.3,6.1,,4.9,,9.2,,0.0,
2021,"Gander (CA), N.L.",2021S0504011,2016,Suitability: unsuitable housing,4.2.4,65,,10,,55,,0,
2021,"Gander (CA), N.L.",2021S0504011,2016,Percent of households in unsuitable housing,4.2.5,1.2,,0.3,,3.2,,0.0,
2021,"Gander (CA), N.L.",2021S0504011,2016,Affordability: unaffordable housing,4.2.6,1000,,305,,695,,0,
2021,"Gander (CA), N.L.",2021S0504011,2016,Percent of households in unaffordable housing,4.2.7,18.1,,8.0,,40.2,,0.0,
2021,"Gander (CA), N.L.",2021S0504011,2016,Core housing need: in core housing need,4.2.8,460,,75,,385,,0,
2021,"Gander (CA), N.L.",2021S0504011,2016,Percent of households in core housing need,4.2.9,8.4,,2.0,,22.7,,0.0,
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,2021,Total - Housing indicators,5.1.1,6125,,4110,,2010,,0,
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,2021,Adequacy: inadequate housing,5.1.2,330,,195,,140,,0,
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,2021,Percent of households in inadequate housing,5.1.3,5.4,,4.7,,7.0,,0.0,
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,2021,Suitability: unsuitable housing,5.1.4,85,,40,,50,,0,
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,2021,Percent of households in unsuitable housing,5.1.5,1.4,,1.0,,2.5,,0.0,
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,2021,Affordability: unaffordable housing,5.1.6,1195,,440,,750,,0,
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,2021,Percent of households in unaffordable housing,5.1.7,19.5,,10.7,,37.3,,0.0,
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,2021,Core housing need: in core housing need,5.1.8,590,,140,,455,,0,
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,2021,Percent of households in core housing need,5.1.9,9.7,,3.4,,23.0,,0.0,
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,2016,Total - Housing indicators,5.2.1,6090,,4105,,1985,,0,
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,2016,Adequacy: inadequate housing,5.2.2,450,,310,,135,,0,
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,2016,Percent of households in inadequate housing,5.2.3,7.4,,7.6,,6.8,,0.0,
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,2016,Suitability: unsuitable housing,5.2.4,85,,25,,60,,0,
