REF_DATE,GEO,DGUID,Census year (2),Housing indicators (9),Coordinate,Tenure (4):Total - Tenure[1],Symbol,Tenure (4):Owner[2],Symbol,Tenure (4):Renter[3],Symbol,"Tenure (4):Dwelling provided by the local government, First Nation or Indian band[4]",Symbol
2021,Manitoba,2021A000246,2021,Adequacy: inadequate housing,98.1.2,39615,,22365,,11755,,5500,
2021,Manitoba,2021A000246,2021,Percent of households in inadequate housing,98.1.3,7.6,,6.4,,7.5,,44.9,
2021,Manitoba,2021A000246,2021,Suitability: unsuitable housing,98.1.4,36190,,13245,,19390,,3555,
2021,Manitoba,2021A000246,2021,Percent of households in unsuitable housing,98.1.5,7.0,,3.8,,12.4,,29.0,
2021,Manitoba,2021A000246,2021,Affordability: unaffordable housing,98.1.6,85360,,33630,,51735,,0,
2021,Manitoba,2021A000246,2021,Percent of households in unaffordable housing,98.1.7,17.3,,9.9,,33.5,,0.0,
2021,Manitoba,2021A000246,2021,Core housing need: in core housing need,98.1.8,48815,,16190,,32620,,0,
2021,Manitoba,2021A000246,2021,Percent of households in core housing need,98.1.9,10.1,,4.8,,22.0,,0.0,
2021,Saskatchewan,2021A000247,2021,Total - Housing indicators,105.1.1,449580,,317655,,118590,,13335,
2021,Saskatchewan,2021A000247,2021,Adequacy: inadequate housing,105.1.2,35365,,22110,,7720,,5545,
2021,Saskatchewan,2021A000247,2021,Percent of households in inadequate housing,105.1.3,7.9,,7.0,,6.5,,41.6,
2021,Saskatchewan,2021A000247,2021,Suitability: unsuitable housing,105.1.4,22745,,7355,,11905,,3490,
2021,Saskatchewan,2021A000247,2021,Percent of households in unsuitable housing,105.1.5,5.1,,2.3,,10.0,,26.2,
2021,Saskatchewan,2021A000247,2021,Affordability: unaffordable housing,105.1.6,71445,,32905,,38545,,0,
2021,Saskatchewan,2021A000247,2021,Percent of households in unaffordable housing,105.1.7,17.2,,11.1,,33.1,,0.0,
2021,Saskatchewan,2021A000247,2021,Core housing need: in core housing need,105.1.8,41890,,16805,,25085,,0,
2021,Saskatchewan,2021A000247,2021,Percent of households in core housing need,105.1.9,10.3,,5.7,,22.1,,0.0,
2021,Alberta,2021A000248,2021,Total - Housing indicators,115.1.1,1633220,,1157495,,465220,,10505,
2021,Alberta,2021A000248,2021,Adequacy: inadequate housing,115.1.2,89420,,57195,,27705,,4520,
2021,Alberta,2021A000248,2021,Percent of households in inadequate housing,115.1.3,5.5,,4.9,,6.0,,43.0,
2021,Alberta,2021A000248,2021,Suitability: unsuitable housing,115.1.4,76260,,33780,,40045,,2435,
2021,Alberta,2021A000248,2021,Percent of households in unsuitable housing,115.1.5,4.7,,2.9,,8.6,,23.2,
2021,Alberta,2021A000248,2021,Affordability: unaffordable housing,115.1.6,337585,,181170,,156415,,0,
2021,Alberta,2021A000248,2021,Percent of households in unaffordable housing,115.1.7,21.2,,16.0,,34.0,,0.0,
2021,Alberta,2021A000248,2021,Core housing need: in core housing need,115.1.8,154230,,62135,,92090,,0,
2021,Alberta,2021A000248,2021,Percent of households in core housing need,115.1.9,9.9,,5.6,,20.7,,0.0,
2021,British Columbia,2021A000259,2021,Total - Housing indicators,133.1.1,2041830,,1363185,,669455,,9190,
2021,British Columbia,2021A000259,2021,Adequacy: inadequate housing,133.1.2,119195,,71595,,44980,,2625,
2021,British Columbia,2021A000259,2021,Percent of households in inadequate housing,133.1.3,5.8,,5.3,,6.7,,28.6,
2021,British Columbia,2021A000259,2021,Suitability: unsuitable housing,133.1.4,122695,,48410,,73120,,1165,
2021,British Columbia,2021A000259,2021,Percent of households in unsuitable housing,133.1.5,6.0,,3.6,,10.9,,12.7,
2021,British Columbia,2021A000259,2021,Affordability: unaffordable housing,133.1.6,506850,,256935,,249915,,0,
2021,British Columbia,2021A000259,2021,Percent of households in unaffordable housing,133.1.7,25.5,,19.3,,37.8,,0.0,
2021,British Columbia,2021A000259,2021,Core housing need: in core housing need,133.1.8,257090,,102845,,154245,,0,
2021,British Columbia,2021A000259,2021,Percent of households in core housing need,133.1.9,13.4,,8.0,,24.7,,0.0,
2021,Yukon,2021A000260,2021,Total - Housing indicators,162.1.1,17185,,11060,,5530,,585,
2021,Yukon,2021A000260,2021,Adequacy: inadequate housing,162.1.2,2105,,1285,,630,,195,
2021,Yukon,2021A000260,2021,Percent of households in inadequate housing,162.1.3,12.2,,11.6,,11.4,,33.3,
2021,Yukon,2021A000260,2021,Suitability: unsuitable housing,162.1.4,920,,395,,485,,35,
2021,Yukon,2021A000260,2021,Percent of households in unsuitable housing,162.1.5,5.4,,3.6,,8.8,,6.0,
2021,Yukon,2021A000260,2021,Affordability: unaffordable housing,162.1.6,2665,,1290,,1370,,0,
2021,Yukon,2021A000260,2021,Percent of households in unaffordable housing,162.1.7,16.2,,11.7,,24.9,,0.0,
2021,Yukon,2021A000260,2021,Core housing need: in core housing need,162.1.8,2135,,870,,1265,,0,
2021,Yukon,2021A000260,2021,Percent of households in core housing need,162.1.9,13.1,,8.0,,23.3,,0.0,
2021,Northwest Territories,2021A000261,2021,Total - Housing indicators,164.1.1,15205,,8140,,7020,,50,
2021,Northwest Territories,2021A000261,2021,Adequacy: inadequate housing,164.1.2,2805,,1485,,1295,,15,
2021,Northwest Territories,2021A000261,2021,Percent of households in inadequate housing,164.1.3,18.4,,18.2,,18.4,,30.0,
2021,Northwest Territories,2021A000261,2021,Suitability: unsuitable housing,164.1.4,1595,,615,,965,,15,
2021,Northwest Territories,2021A000261,2021,Percent of households in unsuitable housing,164.1.5,10.5,,7.6,,13.7,,30.0,
2021,Northwest Territories,2021A000261,2021,Affordability: unaffordable housing,164.1.6,1805,,705,,1095,,0,
2021,Northwest Territories,2021A000261,2021,Percent of households in unaffordable housing,164.1.7,11.9,,8.7,,15.6,,0.0,
2021,Northwest Territories,2021A000261,2021,Core housing need: in core housing need,164.1.8,1960,,660,,1295,,0,
